arabic_word,normalized_arabic,phonetic_word,simple_latin
كَمَآ,كما,kama,kma
ءَامَنَ,ءامن,amana,aamn
ٱلسُّفَهَآءُ,السفهاء,alssufahao,alsfhaa
أَلَآ,الا,ala,ala
إِنَّهُمْ,انهم,innahum,anhm
هُمُ,هم,humu,hm
ٱلسُّفَهَآءُ,السفهاء,alssufahao,alsfhaa
وَلَٰكِن,ولاكن,walakin,wlakn
لَّا,لا,la,la
يَعْلَمُونَ,يعلمون,yaAAlamoona,yalmwn
وَإِذَا,واذا,Waitha,wadha
لَقُوا,لقوا,laqoo,lqwa
ٱلَّذِينَ,الذين,allatheena,aldhyn
ءَامَنُوا,ءامنوا,amanoo,aamnwa
قَالُوٓا,قالوا,qaloo,qalwa
ءَامَنَّا,ءامنا,amanna,aamna
وَإِذَا,واذا,waitha,wadha
خَلَوْا,خلوا,khalaw,khlwa
إِلَىٰ,اليا,ila,alya
شَيَٰطِينِهِمْ,شياطينهم,shayateenihim,shyatynhm
قَالُوٓا,قالوا,qaloo,qalwa
إِنَّا,انا,inna,ana
مَعَكُمْ,معكم,maAAakum,makm
إِنَّمَا,انما,innama,anma
نَحْنُ,نحن,nahnu,nhn
مُسْتَهْزِءُونَ,مستهزءون,mustahzioona,msthzawn
ٱللَّهُ,الله,Allahu,allh
يَسْتَهْزِئُ,يستهزي,yastahzio,ysthzy
بِهِمْ,بهم,bihim,bhm
وَيَمُدُّهُمْ,ويمدهم,wayamudduhum,wymdhm
فِى,في,fee,fy
طُغْيَٰنِهِمْ,طغيانهم,tughyanihim,tghyanhm
يَعْمَهُونَ,يعمهون,yaAAmahoona,yamhwn
أُولَٰٓئِكَ,اولايك,Olaika,awlayk
ٱلَّذِينَ,الذين,allatheena,aldhyn
ٱشْتَرَوُا,اشتروا,ishtarawoo,ashtrwa
ٱلضَّلَٰلَةَ,الضلاله,alddalalata,aldlalh
بِٱلْهُدَىٰ,بالهديا,bialhuda,balhdya
فَمَا,فما,fama,fma
رَبِحَت,ربحت,rabihat,rbht
تِّجَٰرَتُهُمْ,تجارتهم,tijaratuhum,tjarthm
وَمَا,وما,wama,wma
كَانُوا,كانوا,kanoo,kanwa
مُهْتَدِينَ,مهتدين,muhtadeena,mhtdyn
مَثَلُهُمْ,مثلهم,Mathaluhum,mthlhm
كَمَثَلِ,كمثل,kamathali,kmthl
ٱلَّذِى,الذي,allathee,aldhy
ٱسْتَوْقَدَ,استوقد,istawqada,astwqd
نَارًا,نارا,naran,nara
فَلَمَّآ,فلما,falamma,flma
أَضَآءَتْ,اضاءت,adaat,adaat
مَا,ما,ma,ma
حَوْلَهُ,حوله,hawlahu,hwlh
ذَهَبَ,ذهب,thahaba,dhhb
ٱللَّهُ,الله,Allahu,allh
بِنُورِهِمْ,بنورهم,binoorihim,bnwrhm
وَتَرَكَهُمْ,وتركهم,watarakahum,wtrkhm
فِى,في,fee,fy
ظُلُمَٰتٍ,ظلمات,thulumatin,zlmat
لَّا,لا,la,la
يُبْصِرُونَ,يبصرون,yubsiroona,ybsrwn
صُمٌّ,صم,Summun,sm
بُكْمٌ,بكم,bukmun,bkm
عُمْىٌ,عمي,AAumyun,amy
فَهُمْ,فهم,fahum,fhm
لَا,لا,la,la
يَرْجِعُونَ,يرجعون,yarjiAAoona,yrjawn
أَوْ,او,Aw,aw
كَصَيِّبٍ,كصيب,kasayyibin,ksyb
مِّنَ,من,mina,mn
ٱلسَّمَآءِ,السماء,alssamai,alsmaa
فِيهِ,فيه,feehi,fyh
ظُلُمَٰتٌ,ظلمات,thulumatun,zlmat
وَرَعْدٌ,ورعد,waraAAdun,wrad
وَبَرْقٌ,وبرق,wabarqun,wbrq
يَجْعَلُونَ,يجعلون,yajAAaloona,yjalwn
أَصَٰبِعَهُمْ,اصابعهم,asabiAAahum,asabahm
فِىٓ,في,fee,fy
ءَاذَانِهِم,ءاذانهم,athanihim,aadhanhm
مِّنَ,من,mina,mn
ٱلصَّوَٰعِقِ,الصواعق,alssawaAAiqi,alswaaq
حَذَرَ,حذر,hathara,hdhr
ٱلْمَوْتِ,الموت,almawti,almwt
وَٱللَّهُ,والله,waAllahu,wallh
مُحِيطٌ,محيط,muheetun,mhyt
بِٱلْكَٰفِرِينَ,بالكافرين,bialkafireena,balkafryn
يَكَادُ,يكاد,Yakadu,ykad
ٱلْبَرْقُ,البرق,albarqu,albrq
يَخْطَفُ,يخطف,yakhtafu,ykhtf
أَبْصَٰرَهُمْ,ابصارهم,absarahum,absarhm
كُلَّمَآ,كلما,kullama,klma
أَضَآءَ,اضاء,adaa,adaa
لَهُم,لهم,lahum,lhm
مَّشَوْا,مشوا,mashaw,mshwa
فِيهِ,فيه,feehi,fyh
وَإِذَآ,واذا,waitha,wadha
أَظْلَمَ,اظلم,athlama,azlm
عَلَيْهِمْ,عليهم,AAalayhim,alyhm
قَامُوا,قاموا,qamoo,qamwa
وَلَوْ,ولو,walaw,wlw
شَآءَ,شاء,shaa,shaa
ٱللَّهُ,الله,Allahu,allh
لَذَهَبَ,لذهب,lathahaba,ldhhb
بِسَمْعِهِمْ,بسمعهم,bisamAAihim,bsmahm
وَأَبْصَٰرِهِمْ,وابصارهم,waabsarihim,wabsarhm
إِنَّ,ان,inna,an
ٱللَّهَ,الله,Allaha,allh
عَلَىٰ,عليا,AAala,alya
كُلِّ,كل,kulli,kl
شَىْءٍ,شيء,shayin,shya
قَدِيرٌ,قدير,qadeerun,qdyr
ٱلَّذِى,الذي,Allathee,aldhy
جَعَلَ,جعل,jaAAala,jal
لَكُمُ,لكم,lakumu,lkm
ٱلْأَرْضَ,الارض,alarda,alard
فِرَٰشًا,فراشا,firashan,frasha
وَٱلسَّمَآءَ,والسماء,waalssamaa,walsmaa
بِنَآءً,بناء,binaan,bnaa
وَأَنزَلَ,وانزل,waanzala,wanzl
مِنَ,من,mina,mn
ٱلسَّمَآءِ,السماء,alssamai,alsmaa
مَآءً,ماء,maan,maa
فَأَخْرَجَ,فاخرج,faakhraja,fakhrj
بِهِ,به,bihi,bh
مِنَ,من,mina,mn
ٱلثَّمَرَٰتِ,الثمرات,alththamarati,althmrat
رِزْقًا,رزقا,rizqan,rzqa
لَّكُمْ,لكم,lakum,lkm
فَلَا,فلا,fala,fla
تَجْعَلُوا,تجعلوا,tajAAaloo,tjalwa
لِلَّهِ,لله,lillahi,llh
أَندَادًا,اندادا,andadan,andada
وَأَنتُمْ,وانتم,waantum,wantm
تَعْلَمُونَ,تعلمون,taAAlamoona,talmwn
وَإِن,وان,Wain,wan
كُنتُمْ,كنتم,kuntum,kntm
فِى,في,fee,fy
رَيْبٍ,ريب,raybin,ryb
مِّمَّا,مما,mimma,mma
نَزَّلْنَا,نزلنا,nazzalna,nzlna
عَلَىٰ,عليا,AAala,alya
عَبْدِنَا,عبدنا,AAabdina,abdna
فَأْتُوا,فاتوا,fatoo,fatwa
بِسُورَةٍ,بسوره,bisooratin,bswrh
مِّن,من,min,mn
مِّثْلِهِ,مثله,mithlihi,mthlh
وَٱدْعُوا,وادعوا,waodAAoo,wadawa
شُهَدَآءَكُم,شهداءكم,shuhadaakum,shhdaakm
مِّن,من,min,mn
دُونِ,دون,dooni,dwn
ٱللَّهِ,الله,Allahi,allh
إِن,ان,in,an
كُنتُمْ,كنتم,kuntum,kntm
صَٰدِقِينَ,صادقين,sadiqeena,sadqyn
فَإِن,فان,Fain,fan
لَّمْ,لم,lam,lm
تَفْعَلُوا,تفعلوا,tafAAaloo,tfalwa
وَلَن,ولن,walan,wln
تَفْعَلُوا,تفعلوا,tafAAaloo,tfalwa
فَٱتَّقُوا,فاتقوا,faittaqoo,fatqwa
ٱلنَّارَ,النار,alnnara,alnar
ٱلَّتِى,التي,allatee,alty
وَقُودُهَا,وقودها,waqooduha,wqwdha
ٱلنَّاسُ,الناس,alnnasu,alnas
وَٱلْحِجَارَةُ,والحجاره,waalhijaratu,walhjarh
أُعِدَّتْ,اعدت,oAAiddat,aadt
لِلْكَٰفِرِينَ,للكافرين,lilkafireena,llkafryn
وَبَشِّرِ,وبشر,Wabashshiri,wbshr
ٱلَّذِينَ,الذين,allatheena,aldhyn
ءَامَنُوا,ءامنوا,amanoo,aamnwa
وَعَمِلُوا,وعملوا,waAAamiloo,wamlwa
ٱلصَّٰلِحَٰتِ,الصالحات,alssalihati,alsalhat
أَنَّ,ان,anna,an
لَهُمْ,لهم,lahum,lhm
جَنَّٰتٍ,جنات,jannatin,jnat
تَجْرِى,تجري,tajree,tjry
مِن,من,min,mn
تَحْتِهَا,تحتها,tahtiha,ththa
ٱلْأَنْهَٰرُ,الانهار,alanharu,alanhar
كُلَّمَا,كلما,kullama,klma
رُزِقُوا,رزقوا,ruziqoo,rzqwa
مِنْهَا,منها,minha,mnha
مِن,من,min,mn
ثَمَرَةٍ,ثمره,thamaratin,thmrh
رِّزْقًا,رزقا,rizqan,rzqa
قَالُوا,قالوا,qaloo,qalwa
هَٰذَا,هاذا,hatha,hadha
ٱلَّذِى,الذي,allathee,aldhy
رُزِقْنَا,رزقنا,ruziqna,rzqna
مِن,من,min,mn
قَبْلُ,قبل,qablu,qbl
وَأُتُوا,واتوا,waotoo,watwa
بِهِ,به,bihi,bh
مُتَشَٰبِهًا,متشابها,mutashabihan,mtshabha
وَلَهُمْ,ولهم,walahum,wlhm
فِيهَآ,فيها,feeha,fyha
أَزْوَٰجٌ,ازواج,azwajun,azwaj
مُّطَهَّرَةٌ,مطهره,mutahharatun,mthrh
وَهُمْ,وهم,wahum,whm
فِيهَا,فيها,feeha,fyha
خَٰلِدُونَ,خالدون,khalidoona,khaldwn
إِنَّ,ان,Inna,an
ٱللَّهَ,الله,Allaha,allh
لَا,لا,la,la
يَسْتَحْىِٓ,يستحي,yastahyee,ysthy
أَن,ان,an,an
يَضْرِبَ,يضرب,yadriba,ydrb
مَثَلًا,مثلا,mathalan,mthla
مَّا,ما,ma,ma
بَعُوضَةً,بعوضه,baAAoodatan,bawdh
فَمَا,فما,fama,fma
فَوْقَهَا,فوقها,fawqaha,fwqha
فَأَمَّا,فاما,faamma,fama
ٱلَّذِينَ,الذين,allatheena,aldhyn
ءَامَنُوا,ءامنوا,amanoo,aamnwa
فَيَعْلَمُونَ,فيعلمون,fayaAAlamoona,fyalmwn
أَنَّهُ,انه,annahu,anh
ٱلْحَقُّ,الحق,alhaqqu,alhq
مِن,من,min,mn
رَّبِّهِمْ,ربهم,rabbihim,rbhm
وَأَمَّا,واما,waamma,wama
ٱلَّذِينَ,الذين,allatheena,aldhyn
كَفَرُوا,كفروا,kafaroo,kfrwa
فَيَقُولُونَ,فيقولون,fayaqooloona,fyqwlwn
مَاذَآ,ماذا,matha,madha
أَرَادَ,اراد,arada,arad
ٱللَّهُ,الله,Allahu,allh
بِهَٰذَا,بهاذا,bihatha,bhadha
مَثَلًا,مثلا,mathalan,mthla
يُضِلُّ,يضل,yudillu,ydl
بِهِ,به,bihi,bh
كَثِيرًا,كثيرا,katheeran,kthyra
وَيَهْدِى,ويهدي,wayahdee,wyhdy
بِهِ,به,bihi,bh
كَثِيرًا,كثيرا,katheeran,kthyra
وَمَا,وما,wama,wma
يُضِلُّ,يضل,yudillu,ydl
بِهِٓ,به,bihi,bh
إِلَّا,الا,illa,ala
ٱلْفَٰسِقِينَ,الفاسقين,alfasiqeena,alfasqyn
ٱلَّذِينَ,الذين,Allatheena,aldhyn
يَنقُضُونَ,ينقضون,yanqudoona,ynqdwn
عَهْدَ,عهد,AAahda,ahd
ٱللَّهِ,الله,Allahi,allh
مِن,من,min,mn
بَعْدِ,بعد,baAAdi,bad
مِيثَٰقِهِ,ميثاقه,meethaqihi,mythaqh
وَيَقْطَعُونَ,ويقطعون,wayaqtaAAoona,wyqtawn
مَآ,ما,ma,ma
أَمَرَ,امر,amara,amr
ٱللَّهُ,الله,Allahu,allh
بِهِٓ,به,bihi,bh
أَن,ان,an,an
يُوصَلَ,يوصل,yoosala,ywsl
وَيُفْسِدُونَ,ويفسدون,wayufsidoona,wyfsdwn
فِى,في,fee,fy
ٱلْأَرْضِ,الارض,alardi,alard
أُولَٰٓئِكَ,اولايك,olaika,awlayk
هُمُ,هم,humu,hm
ٱلْخَٰسِرُونَ,الخاسرون,alkhasiroona,alkhasrwn
كَيْفَ,كيف,Kayfa,kyf
تَكْفُرُونَ,تكفرون,takfuroona,tkfrwn
بِٱللَّهِ,بالله,biAllahi,ballh
وَكُنتُمْ,وكنتم,wakuntum,wkntm
أَمْوَٰتًا,امواتا,amwatan,amwata
فَأَحْيَٰكُمْ,فاحياكم,faahyakum,fahyakm
ثُمَّ,ثم,thumma,thm
يُمِيتُكُمْ,يميتكم,yumeetukum,ymytkm
ثُمَّ,ثم,thumma,thm
يُحْيِيكُمْ,يحييكم,yuhyeekum,yhyykm
ثُمَّ,ثم,thumma,thm
إِلَيْهِ,اليه,ilayhi,alyh
تُرْجَعُونَ,ترجعون,turjaAAoona,trjawn
هُوَ,هو,Huwa,hw
ٱلَّذِى,الذي,allathee,aldhy
خَلَقَ,خلق,khalaqa,khlq
لَكُم,لكم,lakum,lkm
مَّا,ما,ma,ma
فِى,في,fee,fy
ٱلْأَرْضِ,الارض,alardi,alard
جَمِيعًا,جميعا,jameeAAan,jmyaa
ثُمَّ,ثم,thumma,thm
ٱسْتَوَىٰٓ,استويا,istawa,astwya
إِلَى,الي,ila,aly
ٱلسَّمَآءِ,السماء,alssamai,alsmaa
فَسَوَّىٰهُنَّ,فسوياهن,fasawwahunna,fswyahn
سَبْعَ,سبع,sabAAa,sba
سَمَٰوَٰتٍ,سماوات,samawatin,smawat
وَهُوَ,وهو,wahuwa,whw
بِكُلِّ,بكل,bikulli,bkl
شَىْءٍ,شيء,shayin,shya
عَلِيمٌ,عليم,AAaleemun,alym
وَإِذْ,واذ,Waith,wadh
قَالَ,قال,qala,qal
رَبُّكَ,ربك,rabbuka,rbk
لِلْمَلَٰٓئِكَةِ,للملايكه,lilmalaikati,llmlaykh
إِنِّى,اني,innee,any
جَاعِلٌ,جاعل,jaAAilun,jaal
فِى,في,fee,fy
ٱلْأَرْضِ,الارض,alardi,alard
خَلِيفَةً,خليفه,khaleefatan,khlyfh
قَالُوٓا,قالوا,qaloo,qalwa
أَتَجْعَلُ,اتجعل,atajAAalu,atjal
فِيهَا,فيها,feeha,fyha
مَن,من,man,mn
يُفْسِدُ,يفسد,yufsidu,yfsd
فِيهَا,فيها,feeha,fyha
وَيَسْفِكُ,ويسفك,wayasfiku,wysfk
ٱلدِّمَآءَ,الدماء,alddimaa,aldmaa
وَنَحْنُ,ونحن,wanahnu,wnhn
نُسَبِّحُ,نسبح,nusabbihu,nsbh
بِحَمْدِكَ,بحمدك,bihamdika,bhmdk
وَنُقَدِّسُ,ونقدس,wanuqaddisu,wnqds
لَكَ,لك,laka,lk
قَالَ,قال,qala,qal
إِنِّىٓ,اني,innee,any
أَعْلَمُ,اعلم,aAAlamu,aalm
مَا,ما,ma,ma
لَا,لا,la,la
تَعْلَمُونَ,تعلمون,taAAlamoona,talmwn
وَعَلَّمَ,وعلم,WaAAallama,walm
ءَادَمَ,ءادم,adama,aadm
ٱلْأَسْمَآءَ,الاسماء,alasmaa,alasmaa
كُلَّهَا,كلها,kullaha,klha
ثُمَّ,ثم,thumma,thm
عَرَضَهُمْ,عرضهم,AAaradahum,ardhm
عَلَى,علي,AAala,aly
ٱلْمَلَٰٓئِكَةِ,الملايكه,almalaikati,almlaykh
فَقَالَ,فقال,faqala,fqal
أَنبِـُٔونِى,انبوني,anbioonee,anbwny
بِأَسْمَآءِ,باسماء,biasmai,basmaa
هَٰٓؤُلَآءِ,هاولاء,haolai,hawlaa
إِن,ان,in,an
كُنتُمْ,كنتم,kuntum,kntm
صَٰدِقِينَ,صادقين,sadiqeena,sadqyn
قَالُوا,قالوا,Qaloo,qalwa
سُبْحَٰنَكَ,سبحانك,subhanaka,sbhank
لَا,لا,la,la
عِلْمَ,علم,AAilma,alm
لَنَآ,لنا,lana,lna
إِلَّا,الا,illa,ala
مَا,ما,ma,ma
عَلَّمْتَنَآ,علمتنا,AAallamtana,almtna
إِنَّكَ,انك,innaka,ank
أَنتَ,انت,anta,ant
ٱلْعَلِيمُ,العليم,alAAaleemu,alalym
ٱلْحَكِيمُ,الحكيم,alhakeemu,alhkym
وَإِذْ,واذ,Waith,wadh
قُلْنَا,قلنا,qulna,qlna
لِلْمَلَٰٓئِكَةِ,للملايكه,lilmalaikati,llmlaykh
ٱسْجُدُوا,اسجدوا,osjudoo,asjdwa
لِءَادَمَ,لءادم,liadama,laadm
فَسَجَدُوٓا,فسجدوا,fasajadoo,fsjdwa
إِلَّآ,الا,illa,ala
إِبْلِيسَ,ابليس,ibleesa,ablys
أَبَىٰ,ابيا,aba,abya
وَٱسْتَكْبَرَ,واستكبر,waistakbara,wastkbr
وَكَانَ,وكان,wakana,wkan
مِنَ,من,mina,mn
ٱلْكَٰفِرِينَ,الكافرين,alkafireena,alkafryn
فَأَزَلَّهُمَا,فازلهما,Faazallahuma,fazlhma
ٱلشَّيْطَٰنُ,الشيطان,alshshaytanu,alshytan
عَنْهَا,عنها,AAanha,anha
فَأَخْرَجَهُمَا,فاخرجهما,faakhrajahuma,fakhrjhma
مِمَّا,مما,mimma,mma
كَانَا,كانا,kana,kana
فِيهِ,فيه,feehi,fyh
وَقُلْنَا,وقلنا,waqulna,wqlna
ٱهْبِطُوا,اهبطوا,ihbitoo,ahbtwa
بَعْضُكُمْ,بعضكم,baAAdukum,badkm
لِبَعْضٍ,لبعض,libaAAdin,lbad
عَدُوٌّ,عدو,AAaduwwun,adw
وَلَكُمْ,ولكم,walakum,wlkm
فِى,في,fee,fy
ٱلْأَرْضِ,الارض,alardi,alard
مُسْتَقَرٌّ,مستقر,mustaqarrun,mstqr
وَمَتَٰعٌ,ومتاع,wamataAAun,wmtaa
إِلَىٰ,اليا,ila,alya
حِينٍ,حين,heenin,hyn
فَتَلَقَّىٰٓ,فتلقيا,Fatalaqqa,ftlqya
ءَادَمُ,ءادم,adamu,aadm
مِن,من,min,mn
رَّبِّهِ,ربه,rabbihi,rbh
كَلِمَٰتٍ,كلمات,kalimatin,klmat
فَتَابَ,فتاب,fataba,ftab
عَلَيْهِ,عليه,AAalayhi,alyh
إِنَّهُ,انه,innahu,anh
هُوَ,هو,huwa,hw
ٱلتَّوَّابُ,التواب,alttawwabu,altwab
ٱلرَّحِيمُ,الرحيم,alrraheemu,alrhym
قُلْنَا,قلنا,Qulna,qlna
ٱهْبِطُوا,اهبطوا,ihbitoo,ahbtwa
مِنْهَا,منها,minha,mnha
جَمِيعًا,جميعا,jameeAAan,jmyaa
فَإِمَّا,فاما,faimma,fama
يَأْتِيَنَّكُم,ياتينكم,yatiyannakum,yatynkm
مِّنِّى,مني,minnee,mny
هُدًى,هدي,hudan,hdy
فَمَن,فمن,faman,fmn
تَبِعَ,تبع,tabiAAa,tba
هُدَاىَ,هداي,hudaya,hday
فَلَا,فلا,fala,fla
خَوْفٌ,خوف,khawfun,khwf
عَلَيْهِمْ,عليهم,AAalayhim,alyhm
وَلَا,ولا,wala,wla
هُمْ,هم,hum,hm
يَحْزَنُونَ,يحزنون,yahzanoona,yhznwn
وَٱلَّذِينَ,والذين,Waallatheena,waldhyn
كَفَرُوا,كفروا,kafaroo,kfrwa
وَكَذَّبُوا,وكذبوا,wakaththaboo,wkdhbwa
بِـَٔايَٰتِنَآ,باياتنا,biayatina,bayatna
أُولَٰٓئِكَ,اولايك,olaika,awlayk
أَصْحَٰبُ,اصحاب,ashabu,ashab
ٱلنَّارِ,النار,alnnari,alnar
هُمْ,هم,hum,hm
فِيهَا,فيها,feeha,fyha
خَٰلِدُونَ,خالدون,khalidoona,khaldwn
وَءَامِنُوا,وءامنوا,Waaminoo,waamnwa
بِمَآ,بما,bima,bma
أَنزَلْتُ,انزلت,anzaltu,anzlt
مُصَدِّقًا,مصدقا,musaddiqan,msdqa
لِّمَا,لما,lima,lma
مَعَكُمْ,معكم,maAAakum,makm
وَلَا,ولا,wala,wla
تَكُونُوٓا,تكونوا,takoonoo,tkwnwa
أَوَّلَ,اول,awwala,awl
كَافِرٍ,كافر,kafirin,kafr
بِهِ,به,bihi,bh
وَلَا,ولا,wala,wla
تَشْتَرُوا,تشتروا,tashtaroo,tshtrwa
بِـَٔايَٰتِى,باياتي,biayatee,bayaty
ثَمَنًا,ثمنا,thamanan,thmna
قَلِيلًا,قليلا,qaleelan,qlyla
